pop_size,cx_prob,cx_alpha,mut_prob,mut_indpb,tournsize,migration_size,fitness_best,gain_best
7,0.6,0.3,0.25,0.1,6,3,7,89.7733022229504,196.4000000000006
7,0.74,0.5,0.19,0.27,8,5,8,89.52889794937323,177.20000000000064
6,0.51,0.88,0.55,0.67,7,7,7,85.89419848511963,207.2000000000006
7,0.5,0.42,0.58,0.91,6,3,8,82.84807311185713,167.60000000000062
7,0.76,0.72,0.38,0.41,8,8,5,87.13111686518415,212.40000000000043
9,0.63,0.24,0.01,0.52,7,6,4,86.98662087915312,150.0000000000006
7,0.84,0.83,0.47,0.32,7,5,9,88.10738553301131,208.2000000000006
9,0.79,0.26,0.4,0.09,7,4,2,90.13216869661983,201.0000000000006
11,0.54,0.49,0.42,0.18,6,7,10,87.24095622051799,186.80000000000067
10,0.62,0.31,0.54,0.99,7,6,3,87.48220497061943,214.60000000000056
7,0.58,0.04,0.24,0.95,6,5,4,85.51885878815551,205.80000000000052
10,0.77,0.26,0.57,0.96,6,5,5,86.60600797251965,200.2000000000006
7,0.59,0.16,0.08,0.12,5,9,8,89.40320338100386,205.80000000000044
11,0.91,0.52,0.21,0.89,7,7,4,83.89650461172774,184.20000000000067
10,0.57,0.22,0.18,0.6,6,6,6,89.37875013250608,180.80000000000064
7,0.99,0.02,0.03,0.02,8,2,3,89.52509987026295,173.00000000000065
8,0.83,0.19,0.56,0.53,9,9,6,87.38815787357706,211.2000000000005
8,0.84,0.26,0.38,0.18,7,4,10,89.26490916112334,220.40000000000043
6,0.94,0.83,0.48,0.34,8,8,9,89.73121386138327,218.40000000000055
11,0.69,0.26,0.26,0.22,8,9,4,87.63041478837147,217.60000000000053
6,0.91,0.73,0.35,0.37,9,10,5,84.58501935786552,178.80000000000055
8,0.4,0.63,0.45,0.42,9,7,2,84.69880667191697,164.6000000000006
9,0.42,0.99,0.34,0.78,8,8,3,86.86944839260876,186.20000000000064
11,0.84,0.42,0.02,0.95,9,5,7,88.59269212263604,154.40000000000066
6,0.73,0.73,0.28,0.85,7,9,5,88.27257925136199,191.20000000000067
8,0.45,0.59,0.31,0.66,5,8,3,81.85316769376104,191.40000000000066
10,0.66,1.0,0.14,0.42,8,10,5,89.33781654591785,206.40000000000063
10,0.67,0.67,0.49,0.76,8,8,3,74.09114099098738,199.60000000000062
9,0.74,0.36,0.53,0.76,8,6,2,84.80945327675377,180.80000000000064
6,0.97,0.88,0.6,0.17,8,4,9,70.77178927033897,179.80000000000064
10,0.63,0.11,0.44,0.44,9,7,4,90.61668130615132,225.00000000000054
6,0.96,0.56,0.42,0.27,7,3,10,85.7177471387945,236.00000000000045
8,0.9,0.09,0.52,0.28,7,4,6,91.1866243912102,243.60000000000036
6,0.78,0.95,0.38,0.36,9,3,10,85.830887348728,170.80000000000058
7,0.81,0.36,0.21,0.24,7,10,8,88.34769454077095,201.6000000000005
9,0.88,0.79,0.42,0.22,8,2,9,89.59946738058169,194.80000000000064
8,0.94,0.45,0.36,0.3,5,4,9,88.30986387205967,199.2000000000006
8,0.93,0.13,0.49,0.01,6,8,8,90.07726981633931,225.60000000000048
6,1.0,0.47,0.4,0.33,6,5,7,86.50098668491876,239.40000000000038
9,0.87,0.52,0.43,0.47,8,2,9,90.02947307813776,190.20000000000064
7,0.95,0.31,0.15,0.5,6,6,10,87.13654970047067,225.40000000000043
11,0.8,0.37,0.31,0.16,7,7,10,88.55829128638848,205.60000000000065
7,0.9,0.68,0.53,0.06,7,3,10,87.98609685830829,193.40000000000066
8,0.87,0.06,0.58,0.57,7,3,8,88.36103938432608,230.60000000000045
11,0.54,0.07,0.45,0.46,5,7,4,86.61359204510605,202.20000000000053
6,0.71,0.0,0.6,0.05,6,3,10,89.17578247927655,180.20000000000064
10,0.63,0.56,0.52,0.27,9,5,6,83.99735815677609,218.2000000000004
