n_run;individual_gains;defeated_enemies
1;[-198.9999999999991, -224.99999999999923, -317.9999999999992, -276.1999999999992, -321.79999999999916];[3, 3, 2, 3, 2]
10;[-302.5999999999997, -313.3999999999996, -351.3999999999997, -407.7999999999995, -375.7999999999995];[2, 2, 2, 2, 2]
2;[-118.99999999999898, -123.59999999999911, -230.1999999999992, -277.3999999999995, -156.599999999999];[4, 3, 2, 2, 4]
3;[-254.99999999999986, -252.7999999999997, -336.1999999999998, -284.39999999999986, -220.9999999999998];[1, 2, 1, 2, 2]
4;[-249.59999999999954, -199.19999999999914, -301.5999999999994, -180.99999999999923, -125.19999999999953];[2, 3, 2, 3, 3]
5;[-302.59999999999957, -433.39999999999975, -298.99999999999955, -366.1999999999998, -351.5999999999994];[2, 1, 2, 1, 2]
6;[-442.99999999999966, -340.5999999999997, -404.5999999999998, -351.1999999999997, -295.39999999999964];[1, 1, 1, 1, 1]
7;[-380.99999999999926, -321.7999999999994, -299.9999999999992, -274.1999999999992, -266.59999999999957];[2, 2, 3, 3, 2]
8;[-380.39999999999947, -340.99999999999943, -395.3999999999994, -361.39999999999947, -405.7999999999995];[2, 2, 2, 2, 2]
9;[-370.3999999999994, -461.3999999999997, -325.39999999999975, -190.99999999999955, -386.3999999999995];[2, 1, 2, 3, 2]
