n_run;individual_gains;defeated_enemies
1;[-89.19999999999959, -82.99999999999946, -184.79999999999944, -265.5999999999997, -299.9999999999997];[3, 3, 2, 2, 1]
10;[-184.1999999999995, -138.3999999999994, -57.79999999999953, -313.79999999999967, -133.79999999999944];[3, 3, 3, 1, 3]
2;[-158.19999999999942, -162.39999999999938, -78.59999999999937, -80.5999999999994, -113.59999999999945];[3, 3, 3, 3, 3]
3;[-278.1999999999997, -146.99999999999935, -328.99999999999966, -262.3999999999997, -180.19999999999933];[2, 3, 2, 2, 3]
4;[-102.39999999999952, -264.19999999999976, -88.59999999999962, -90.39999999999941, -177.79999999999944];[3, 2, 3, 3, 2]
5;[-311.7999999999994, -331.1999999999998, -276.3999999999997, -367.59999999999974, -232.39999999999952];[2, 2, 2, 1, 3]
6;[-321.5999999999997, -134.39999999999947, -240.7999999999995, -191.5999999999995, -262.79999999999967];[2, 3, 2, 3, 2]
7;[-203.99999999999946, -154.39999999999947, -195.19999999999948, -149.99999999999943, -191.39999999999944];[3, 3, 3, 3, 3]
8;[-99.79999999999933, -80.99999999999932, -151.5999999999995, -159.99999999999943, -78.19999999999948];[3, 3, 3, 3, 3]
9;[-144.19999999999936, -107.99999999999937, -176.9999999999994, -113.79999999999933, -161.39999999999938];[3, 3, 3, 3, 3]
