n_gen;avg_fitness;min_fitness;max_fitness;std_fitness;avg_mut_step_size;std_mut_step_size;best_individual
0;2.3630723637019977;-6.182084906716632;48.77964417492168;17.44029354969749;1.0;0.0;"{'weights_and_biases': array([ 0.29037672, -0.20553166, -0.16512988, ..., -0.38454483,
        0.51060024, -0.95811499]), 'mut_step_size': 1.0, 'fitness': 48.77964417492168, 'individual_gain': -40.0}"
1;78.9298404088452;66.77964417492167;90.32482618476618;10.599199398640962;1.0072785791929684;0.022477775474085585;"{'weights_and_biases': array([ 0.80317331, -0.84896992, -0.2473182 , ..., -1.9986139 ,
       -0.77375498, -1.30332136]), 'mut_step_size': 1.0426597597291882, 'fitness': 90.18506424239102, 'individual_gain': 54}"
2;90.25797274145751;89.79605369405454;90.32482618476618;0.15951172955228246;1.0302883530530398;0.032770162983631335;"{'weights_and_biases': array([ 0.80317331, -0.84896992, -0.2473182 , ..., -1.9986139 ,
       -0.77375498, -1.30332136]), 'mut_step_size': 1.0426597597291882, 'fitness': 90.18506424239102, 'individual_gain': 54}"
3;89.54600219813669;84.86266573298147;90.32482618476618;1.5807549848374116;0.9920905765568518;0.06043187545902348;"{'weights_and_biases': array([ 0.80317331, -0.84896992, -0.2473182 , ..., -1.9986139 ,
       -0.77375498, -1.30332136]), 'mut_step_size': 1.0426597597291882, 'fitness': 90.18506424239102, 'individual_gain': 54}"
4;90.32482618476618;90.32482618476618;90.32482618476618;0.0;1.0024755917196273;0.059935049090405805;"{'weights_and_biases': array([ 1.91833121,  2.71009795,  1.43182957, ...,  0.08387374,
       -2.99994562,  1.53260808]), 'mut_step_size': 0.9960207266723967, 'fitness': 90.32482618476618, 'individual_gain': 54}"
5;90.32482618476618;90.32482618476618;90.32482618476618;0.0;1.0528348342254428;0.04590738877286012;"{'weights_and_biases': array([ 1.43939219, -0.40544843,  1.32054242, ...,  0.50853694,
       -2.17822264,  1.22561168]), 'mut_step_size': 0.9922565049609287, 'fitness': 90.32482618476618, 'individual_gain': 54}"
6;90.51821721177372;90.32482618476618;92.25873645484157;0.5801730810226161;1.029422099755166;0.046463685223950134;"{'weights_and_biases': array([ 1.43939219, -0.40544843,  1.73265345, ..., -0.85584609,
       -2.93493117,  1.22561168]), 'mut_step_size': 1.0717335754814064, 'fitness': 92.25873645484157, 'individual_gain': 78}"
7;91.29178131980389;90.32482618476618;92.25873645484157;0.9669551350376935;1.0614245205457338;0.03857729849072864;"{'weights_and_biases': array([ 1.43939219, -0.40544843,  1.73265345, ..., -0.85584609,
       -2.93493117,  1.22561168]), 'mut_step_size': 1.0717335754814064, 'fitness': 92.25873645484157, 'individual_gain': 78}"
8;90.32482618476618;90.32482618476618;90.32482618476618;0.0;1.0474960715238453;0.05404574617331864;"{'weights_and_biases': array([ 2.94495705,  1.53975666,  0.79789513, ...,  1.66490203,
       -1.4403389 ,  4.97903419]), 'mut_step_size': 0.930842282911542, 'fitness': 90.32482618476618, 'individual_gain': 54}"
9;90.52004256837571;90.32482618476618;92.27699002086159;0.5856491508286226;1.0138247202757444;0.07194750793754535;"{'weights_and_biases': array([ 1.5036816 , -1.99094568, -0.15189224, ...,  0.34490842,
       -4.29162458,  4.00762523]), 'mut_step_size': 0.930842282911542, 'fitness': 92.27699002086159, 'individual_gain': 76}"
