n_run;individual_gains;defeated_enemies
1;[-597.3999999999996, -607.9999999999997, -650.0, -622.7999999999997, -564.9999999999999];[0, 0, 0, 0, 1]
10;[-261.9999999999995, -256.3999999999994, -223.59999999999962, -315.59999999999945, -291.59999999999945];[2, 2, 2, 2, 2]
2;[-301.9999999999999, -298.99999999999955, -505.19999999999976, -403.39999999999947, -445.59999999999945];[1, 2, 0, 1, 1]
3;[-227.5999999999994, -164.9999999999992, -115.9999999999992, -227.59999999999945, -192.19999999999936];[3, 4, 4, 3, 3]
4;[-542.9999999999997, -548.1999999999997, -638.3999999999997, -521.9999999999997, -494.79999999999967];[1, 1, 0, 1, 1]
5;[-406.79999999999984, -322.39999999999964, -467.79999999999995, -305.1999999999997, -414.1999999999996];[1, 2, 1, 2, 2]
6;[-314.1999999999996, -339.59999999999934, -207.99999999999923, -326.5999999999994, -365.99999999999943];[2, 2, 3, 2, 2]
7;[-277.79999999999916, -347.39999999999947, -374.9999999999995, -319.39999999999964, -361.1999999999996];[3, 2, 2, 2, 2]
8;[-482.1999999999997, -462.59999999999974, -610.0, -490.59999999999974, -472.1999999999997];[1, 1, 0, 1, 1]
9;[-365.9999999999995, -297.39999999999964, -290.79999999999944, -346.3999999999996, -182.39999999999915];[2, 2, 2, 2, 3]
